Club,Last Name,First Name,Position,2015 Base Salary,2015 Guaranteed Compensation
PHI,Casey,Conor,F,180000,180000
PHI,Catic,Dzenan,F,60000,75000
PHI,Cruz,Danny,M,125000,131666
PHI,Edu,Maurice,M,700000,768750
PHI,Fabinho,Fabinho,D,114000,118500
PHI,Fernandes,Leo,M,60000,60000
PHI,Gaddis,Raymon,D,130000,132500
PHI,Hoppenot,Antoine,F,60000,60000
PHI,Lahoud,Michael,M,108900,112233
PHI,Le Toux,Sebastien,M,275000,285228
PHI,Lee,Raymond,D,60000,60000
PHI,Maidana,Cristian,F,203500,217250
PHI,Marquez,Richard,D,60000,60000
PHI,Mbolhi,Rais,GK,350000,350000
PHI,McCarthy,John,GK,50000,56250
PHI,McLaughlin,James,M,60000,60000
PHI,Nogueira,Vincent,M,330000,330000
PHI,Pfeffer,Zach,M,60000,60000
PHI,Sapong,CJ,F,125000,142000
PHI,Sylvestre,Brian,GK,60000,60000
PHI,Valdes,Carlos,D,400000,400000
PHI,Vitoria,Steven,D,400000,400000
PHI,Wenger,Andrew,D/F,180000,282000
PHI,White,Ethan,D,125000,125000
PHI,Williams,Sheanon,F,145000,150500
POOL,Mitchell,Trey,GK,50000,50000
POR,Adi,Fanendo,F,651500,664000
POR,Asprilla,Dairon,F,60000,60000
POR,Besler,Nick,M,65000,81250
POR,Borchers,Nat,D,235000,245000
POR,Chara,Diego,M,170000,170000
POR,Fernandez,Gaston,F,150000,150000
POR,Fochive,George,M,50000,50000
POR,Gleeson,Jake,GK,72600,72600
POR,Jewsbury,Jack,D,120000,137500
POR,Johnson,Will,F,314000,334333
POR,Kwarasey,Adam,GK,260000,260000
POR,Manning,Anthony,D,50000,50000
POR,Nagbe,Darlington,M/F,244000,263000
POR,Nanchoff,Michael,M,60000,60000
POR,Paparatto,Norbeto,D,120000,120000
POR,Peay,Taylor,D,50000,50000
POR,Pereira,Jeanderson,D,60000,60000
POR,Powell,Alvas,D,60000,68700
POR,Ridgewell,Liam,D,1000000,1000000
POR,Thoma,Andy,D-M,60000,75000
POR,Tshuma,Schillo,F,85000,123000
POR,Urruti,Maximiliano,F,200000,200000
POR,Valeri,Diego,M,550000,550000
POR,Villafana,Jorge,F,130000,135000
POR,Wallace,Rodney,M-D,165000,190000
POR,Weber,Andrew,GK,60000,60000
POR,Zemanski,Ben,M,81033,83533
RSL,Allen,Jordan,M/F,80000,90000
RSL,Attinella,Jeff,GK,60000,65083
RSL,Beckerman,Kyle,M,625000,700000
RSL,Beltran,Anthony,D,195000,205950
RSL,Fernandez,Eduardo,GK,60000,60000
RSL,Garcia,Olmes,F,130000,130000
RSL,Gil,Luis,M,240000,335083
RSL,Glad,Justen,D,60000,71000
RSL,Jaime,Sebastian,F,200000,266666
RSL,Kavita,Phanuel,D,50000,50000
RSL,Mansally,Kenny,F,60000,66500
RSL,Maund,Aaron,D,60000,63449
RSL,Morales,Javier,M,300000,300000
RSL,Mulholland,Luke,M,82500,83750
RSL,Okwuonu,Boyd,D,60000,80000
RSL,Olave,Jamison,D,290000,300000
RSL,Ovalle,Adolfo,M,60000,70500
RSL,Pecka,,M,60000,64166
RSL,Phillips,Demar,D,140000,149666
RSL,Plata,Joao,F,150000,150000
RSL,Rimando,Nick,GK,350000,370000
RSL,Sandoval,Devon,F,60000,60000
RSL,Saucedo,Sebastian,M,50000,60500
RSL,Schuler,Chris,D,165000,182000
RSL,Silva,Luis,M,131384,162634
RSL,Stertzer,John,M,60000,69166
RSL,Vasquez,Elias,D,110000,122136
SEA,Alonso,Osvaldo,M,748000,789667
SEA,Azira,Michael,D,60000,62826
SEA,Barrett,Chad,F,95000,100000
SEA,Bedinelli,Thomas,M,108000,133125
SEA,Correa,Andres,D,60000,68166
SEA,Craven,Andy,F,50000,50000
SEA,Dempsey,Clint,F,3913008,4605941
SEA,Evans,Brad,F,276665,302666
SEA,Fisher,Oniel,D,60000,60000
SEA,Frei,Stefan,GK,165000,165000
SEA,Friberg,Erik,M,180000,202500
SEA,Gonzalez,Leonardo,D,165000,165000
SEA,Jones,Darwin,F,60000,66250
SEA,Kovar,Aaron,M,60000,60200
SEA,Lowe,Damion,D,60375,71375
SEA,Lyon,Charlie,GK,50000,50000
SEA,Mansaray,Victory,F,60000,63500
SEA,Marshall,Chad,D,275000,291666
SEA,Martins,Obafemi,F,2400000,3000000
SEA,Mears,Tyrone,D,165000,174000
SEA,Neagle,Lamar,M,165000,167833
SEA,Ockford,Jimmy,D,60000,60000
SEA,Pappa,Marco,M,75000,75000
SEA,Perkins,Troy,GK,130000,136662
SEA,Pineda,Gonzalo,M,160000,160000
SEA,Remick,Dylan,D,60000,60000
SEA,Roldan,Cristian,M,80000,102000
SEA,Rose,Andy,M,60000,60000
SEA,Scott,Zach,D,65000,65000
SJ,Alashe,Fatai,M,60000,76250
SJ,Amarikwa,Quincy,F,100000,100000
SJ,Barrera,Leandro,F,60000,60000
SJ,Bernardez,Victor,D,200000,241600
SJ,Bingham,David,GK,130000,137750
SJ,Cato,Cordell,F,60000,60000
SJ,Emeghara,Innocent,F,988000,1040000
SJ,Francis,Shaun,D,60000,62940
SJ,Fucito,Michael,MF,60638,63527
SJ,Gomez,Tomas,GK,50000,50000
SJ,Goodson,Clarence,D,315000,342000
SJ,Jahn,Adam,F,60000,60000
SJ,Koval,JJ,M,60000,60000
SJ,Lenhart,Steven,F,150000,159083
SJ,Meredith,Bryan,GK,60000,60000
SJ,Nyassi,Sanna,M,120000,126250
SJ,Perez,Matias,M,240000,240000
SJ,Pierazzi,Jean Baptiste,M,260000,260000
SJ,Renato,Paulo,D,96000,96000
SJ,Salinas,Shea,M,145000,148333
SJ,Sherrod,Mark,F,60000,60000
SJ,Silva,Matheus,,50000,50000
SJ,Stephenson,Khari,M,68254,71645
SJ,Stewart,Jordan,M-D,150000,150000
SJ,Thompson,Tommy,M,140000,145000
SJ,Wondolowski,Chris,M,625000,675000
SJ,Wynne,Marvell,D,190000,190000
TOR,Altidore,Jozy,F,4750000,4750000
TOR,Aparicio,Manuel,M,60000,60000
TOR,Bendik,Joe,GK,150000,157375
TOR,Bloom,Mark,D,90000,97348
TOR,Bono,Alex,GK,60000,80200
TOR,Bradley,Michael,M,6000000,6500000
TOR,Chapman,Jay,M,70000,88500
TOR,Cheyrou,Benoit,M,249999,249999
TOR,Creavalle,Warren,D,108500,119000
TOR,Delgado,Marco,M,80000,82500
TOR,Dike,Bright,F,60638,64388
TOR,Findley,Robbie,F,225000,255500
TOR,Giovinco,Sebastian,M,5600000,7115555
TOR,Goncalves,Jackson,D,165000,192500
TOR,Hagglund,Nick,D,60000,60000
TOR,Hamilton,Jordan,F,63000,75500
TOR,Junior,Gilberto,F,1145000,1205000
TOR,Konopka,Chris,GK,66000,66000
TOR,Lovitz,Daniel,M,60000,60000
TOR,Mannella,Chris,M,60000,60000
TOR,Moore,Luke,F,215000,235500
